hostname,layer,region,cloud_zone,fog_location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,region-0,region-0-b,,32,1606,1000,64,,,98.0,8658.274855631009
1,cloud,region-0,region-0-c,,16,1240,1000,32,,,94.72910706893168,4336.945022065235
2,cloud,region-0,region-0-a,,16,1029,1000,64,,,100.0,3215.1051202346616
3,cloud,region-0,region-0-c,,8,1095,1000,32,,,96.50537840106983,1395.9020197109571
4,cloud,region-0,region-0-b,,16,1667,1000,32,,,96.8480622525274,2853.5011155564825
5,cloud,region-0,region-0-c,,16,1483,1000,64,,,100.0,3986.083332426032
6,cloud,region-0,region-0-b,,16,1263,1000,64,,,98.0,2477.600012901923
7,cloud,region-0,region-0-c,,8,1587,1000,32,,,100.0,1141.9770741836062
8,cloud,region-0,region-0-a,,16,1524,1000,64,,,95.47034467456008,2828.4971887092543
9,cloud,region-0,region-0-c,,32,929,1000,64,,,98.7707708670658,7535.15689343983
10,cloud,region-0,region-0-a,,32,1214,1000,128,,,98.0919391579303,9237.67195041222
11,cloud,region-0,region-0-b,,32,1182,1000,64,,,95.86781084884215,6532.930963249319
12,cloud,region-0,region-0-b,,8,1015,1000,32,,,99.31757320960926,1264.9920859066106
13,cloud,region-0,region-0-c,,32,1484,1000,64,20165.039251365863,21014.57620753942,97.6579212771194,9557.205404556142
14,cloud,region-0,region-0-c,,4,1475,1000,16,,,95.52699608899924,571.8139160002604
15,cloud,region-0,region-0-c,,32,1128,1000,64,,,100.0,4064.902493555676
16,cloud,region-0,region-0-c,,8,919,1000,32,,,98.0,2022.9675848367945
17,cloud,region-0,region-0-a,,8,1066,1000,16,,,97.39137996308264,1906.057019574102
18,cloud,region-0,region-0-c,,16,1318,1000,64,,,100.0,2506.324346796962
19,cloud,region-0,region-0-b,,16,1204,1000,32,,,99.36417216966235,3789.5608313220746
20,cloud,region-0,region-0-c,,8,960,1000,32,,,99.40825621436085,2284.4490023851504
21,cloud,region-0,region-0-c,,16,1532,1000,64,,,96.78557580970016,3787.537779627673
