hostname,layer,region,cloud_zone,fog_location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,region-0,region-0-a,,32,1574,1000,64,,,100.0,7305.785926097536
1,cloud,region-0,region-0-c,,32,927,1000,128,,,95.20720625279785,8505.803013488108
2,cloud,region-0,region-0-a,,32,1646,1000,64,,,99.5747215209626,4549.378837269249
3,cloud,region-0,region-0-c,,8,1682,1000,16,,,95.34878238192395,1786.5708050448045
4,cloud,region-0,region-0-b,,4,1269,1000,16,,,97.5574412796633,472.57648158441583
5,cloud,region-0,region-0-c,,8,1535,1000,16,,,99.61700163167215,2006.0646454179891
6,cloud,region-0,region-0-b,,32,987,1000,64,,,98.0,4541.6411072844885
7,cloud,region-0,region-0-a,,4,1795,1000,16,,,100.0,948.6881650899392
8,cloud,region-0,region-0-c,,32,1396,1000,64,,,96.96255135726533,6849.88210623807
9,cloud,region-0,region-0-a,,16,1500,1000,64,,,98.429456737774,1940.0784580234024
10,cloud,region-0,region-0-b,,8,949,1000,32,,,99.78798913977954,1986.6882819579237
11,cloud,region-0,region-0-b,,4,1701,1000,16,,,98.0,519.0277074859821
12,cloud,region-0,region-0-a,,4,1702,1000,16,,,100.0,493.5792288555656
13,cloud,region-0,region-0-b,,16,1531,1000,32,15805.928650397154,12994.413393441107,99.98845183400653,3049.8216216670103
14,cloud,region-0,region-0-c,,8,1425,1000,32,2705.595806764416,10929.753522089966,97.93311665681033,2107.2572965995137
15,cloud,region-0,region-0-c,,4,1755,1000,16,,,100.0,1016.888825482623
16,cloud,region-0,region-0-a,,16,1715,1000,64,,,98.0,4727.303340801202
17,cloud,region-0,region-0-c,,4,1715,1000,16,,,99.43310006162288,1101.5501705841316
18,cloud,region-0,region-0-a,,16,1009,1000,64,,,100.0,3179.2574461499025
19,cloud,region-0,region-0-c,,32,1270,1000,128,,,97.2728257677916,5038.659288133676
20,cloud,region-0,region-0-a,,8,1515,1000,16,,,97.66078981663608,2375.166915246278
21,cloud,region-0,region-0-c,,16,1696,1000,32,,,97.87545388932892,4440.399622603913
22,cloud,region-0,region-0-a,,32,1798,1000,128,,,98.5260223829067,8966.801852395773
23,cloud,region-0,region-0-a,,8,1532,1000,16,,,98.04374494282196,1656.9300706779657
