pod_name    node_name
app-req-driv-0-workload-0-replica-0     68
app-req-driv-0-workload-0-replica-1     379
app-req-driv-0-workload-0-replica-2     77
app-req-driv-0-workload-0-replica-3     26
app-req-driv-0-workload-0-replica-4     62
app-req-driv-0-workload-0-replica-5     19
app-req-driv-0-workload-1-replica-0     146
app-req-driv-0-workload-1-replica-1     385
app-req-driv-0-workload-1-replica-2     416
app-req-driv-0-workload-1-replica-3     348
app-req-driv-0-workload-1-replica-4     288
app-req-driv-0-workload-1-replica-5     304
app-req-driv-0-workload-1-replica-6     417
app-req-driv-0-workload-1-replica-7     413
app-req-driv-0-workload-1-replica-8     146
app-req-driv-0-workload-1-replica-9     130
app-req-driv-0-workload-10-replica-0    141
app-req-driv-0-workload-10-replica-1    55
app-req-driv-0-workload-10-replica-2    39
app-req-driv-0-workload-10-replica-3    356
app-req-driv-0-workload-10-replica-4    147
app-req-driv-0-workload-11-replica-0    263
app-req-driv-0-workload-11-replica-1    431
app-req-driv-0-workload-11-replica-2    430
app-req-driv-0-workload-11-replica-3    421
app-req-driv-0-workload-11-replica-4    126
app-req-driv-0-workload-12-replica-0    260
app-req-driv-0-workload-12-replica-1    260
app-req-driv-0-workload-12-replica-2    257
app-req-driv-0-workload-12-replica-3    259
app-req-driv-0-workload-12-replica-4    <none>
app-req-driv-0-workload-12-replica-5    <none>
app-req-driv-0-workload-12-replica-6    <none>
app-req-driv-0-workload-12-replica-7    <none>
app-req-driv-0-workload-12-replica-8    <none>
app-req-driv-0-workload-13-replica-0    41
app-req-driv-0-workload-13-replica-1    438
app-req-driv-0-workload-13-replica-2    442
app-req-driv-0-workload-13-replica-3    70
app-req-driv-0-workload-13-replica-4    122
app-req-driv-0-workload-14-replica-0    96
app-req-driv-0-workload-14-replica-1    440
app-req-driv-0-workload-14-replica-2    443
app-req-driv-0-workload-14-replica-3    240
app-req-driv-0-workload-14-replica-4    436
app-req-driv-0-workload-15-replica-0    84
app-req-driv-0-workload-15-replica-1    47
app-req-driv-0-workload-15-replica-2    65
app-req-driv-0-workload-15-replica-3    391
app-req-driv-0-workload-15-replica-4    68
app-req-driv-0-workload-15-replica-5    69
app-req-driv-0-workload-16-replica-0    82
app-req-driv-0-workload-16-replica-1    108
app-req-driv-0-workload-16-replica-2    72
app-req-driv-0-workload-16-replica-3    74
app-req-driv-0-workload-16-replica-4    89
app-req-driv-0-workload-16-replica-5    77
app-req-driv-0-workload-17-replica-0    319
app-req-driv-0-workload-17-replica-1    437
app-req-driv-0-workload-17-replica-2    362
app-req-driv-0-workload-17-replica-3    331
app-req-driv-0-workload-17-replica-4    357
app-req-driv-0-workload-17-replica-5    294
app-req-driv-0-workload-18-replica-0    112
app-req-driv-0-workload-18-replica-1    112
app-req-driv-0-workload-18-replica-2    112
app-req-driv-0-workload-18-replica-3    86
app-req-driv-0-workload-18-replica-4    112
app-req-driv-0-workload-18-replica-5    109
app-req-driv-0-workload-19-replica-0    304
app-req-driv-0-workload-19-replica-1    447
app-req-driv-0-workload-19-replica-2    448
app-req-driv-0-workload-19-replica-3    433
app-req-driv-0-workload-19-replica-4    289
app-req-driv-0-workload-19-replica-5    445
app-req-driv-0-workload-19-replica-6    432
app-req-driv-0-workload-19-replica-7    447
app-req-driv-0-workload-2-replica-0     41
app-req-driv-0-workload-2-replica-1     423
app-req-driv-0-workload-2-replica-2     330
app-req-driv-0-workload-2-replica-3     427
app-req-driv-0-workload-2-replica-4     426
app-req-driv-0-workload-2-replica-5     425
app-req-driv-0-workload-2-replica-6     366
app-req-driv-0-workload-2-replica-7     317
app-req-driv-0-workload-3-replica-0     128
app-req-driv-0-workload-3-replica-1     40
app-req-driv-0-workload-3-replica-2     59
app-req-driv-0-workload-3-replica-3     128
app-req-driv-0-workload-3-replica-4     429
app-req-driv-0-workload-3-replica-5     93
app-req-driv-0-workload-3-replica-6     54
app-req-driv-0-workload-4-replica-0     35
app-req-driv-0-workload-4-replica-1     424
app-req-driv-0-workload-4-replica-2     429
app-req-driv-0-workload-4-replica-3     103
app-req-driv-0-workload-4-replica-4     94
app-req-driv-0-workload-4-replica-5     21
app-req-driv-0-workload-5-replica-0     <none>
app-req-driv-0-workload-5-replica-1     <none>
app-req-driv-0-workload-5-replica-2     <none>
app-req-driv-0-workload-5-replica-3     <none>
app-req-driv-0-workload-5-replica-4     <none>
app-req-driv-0-workload-5-replica-5     <none>
app-req-driv-0-workload-5-replica-6     <none>
app-req-driv-0-workload-5-replica-7     <none>
app-req-driv-0-workload-6-replica-0     130
app-req-driv-0-workload-6-replica-1     430
app-req-driv-0-workload-6-replica-2     409
app-req-driv-0-workload-6-replica-3     355
app-req-driv-0-workload-6-replica-4     296
app-req-driv-0-workload-7-replica-0     308
app-req-driv-0-workload-7-replica-1     340
app-req-driv-0-workload-7-replica-2     34
app-req-driv-0-workload-7-replica-3     109
app-req-driv-0-workload-7-replica-4     432
app-req-driv-0-workload-7-replica-5     434
app-req-driv-0-workload-7-replica-6     435
app-req-driv-0-workload-8-replica-0     239
app-req-driv-0-workload-8-replica-1     344
app-req-driv-0-workload-8-replica-2     256
app-req-driv-0-workload-8-replica-3     95
app-req-driv-0-workload-8-replica-4     305
app-req-driv-0-workload-8-replica-5     312
app-req-driv-0-workload-8-replica-6     73
app-req-driv-0-workload-8-replica-7     52
app-req-driv-0-workload-8-replica-8     275
app-req-driv-0-workload-8-replica-9     96
app-req-driv-0-workload-9-replica-0     74
app-req-driv-0-workload-9-replica-1     74
app-req-driv-0-workload-9-replica-2     81
app-req-driv-0-workload-9-replica-3     96
app-req-driv-0-workload-9-replica-4     99
app-req-driv-0-workload-9-replica-5     115
app-req-driv-0-workload-9-replica-6     84
app-req-driv-1-workload-0-replica-0     43
app-req-driv-1-workload-0-replica-1     326
app-req-driv-1-workload-0-replica-10    70
app-req-driv-1-workload-0-replica-2     382
app-req-driv-1-workload-0-replica-3     21
app-req-driv-1-workload-0-replica-4     46
app-req-driv-1-workload-0-replica-5     21
app-req-driv-1-workload-0-replica-6     43
app-req-driv-1-workload-0-replica-7     126
app-req-driv-1-workload-0-replica-8     46
app-req-driv-1-workload-0-replica-9     281
app-req-driv-1-workload-1-replica-0     247
app-req-driv-1-workload-1-replica-1     247
app-req-driv-1-workload-1-replica-2     246
app-req-driv-1-workload-1-replica-3     <none>
app-req-driv-1-workload-1-replica-4     <none>
app-req-driv-1-workload-10-replica-0    240
app-req-driv-1-workload-10-replica-1    153
app-req-driv-1-workload-10-replica-10   269
app-req-driv-1-workload-10-replica-2    271
app-req-driv-1-workload-10-replica-3    293
app-req-driv-1-workload-10-replica-4    280
app-req-driv-1-workload-10-replica-5    367
app-req-driv-1-workload-10-replica-6    464
app-req-driv-1-workload-10-replica-7    444
app-req-driv-1-workload-10-replica-8    279
app-req-driv-1-workload-10-replica-9    292
app-req-driv-1-workload-11-replica-0    153
app-req-driv-1-workload-11-replica-1    152
app-req-driv-1-workload-11-replica-2    152
app-req-driv-1-workload-11-replica-3    150
app-req-driv-1-workload-11-replica-4    150
app-req-driv-1-workload-11-replica-5    150
app-req-driv-1-workload-11-replica-6    151
app-req-driv-1-workload-11-replica-7    151
app-req-driv-1-workload-11-replica-8    151
app-req-driv-1-workload-12-replica-0    129
app-req-driv-1-workload-12-replica-1    122
app-req-driv-1-workload-12-replica-2    123
app-req-driv-1-workload-12-replica-3    142
app-req-driv-1-workload-12-replica-4    144
app-req-driv-1-workload-13-replica-0    142
app-req-driv-1-workload-13-replica-1    137
app-req-driv-1-workload-13-replica-10   143
app-req-driv-1-workload-13-replica-2    127
app-req-driv-1-workload-13-replica-3    118
app-req-driv-1-workload-13-replica-4    138
app-req-driv-1-workload-13-replica-5    146
app-req-driv-1-workload-13-replica-6    131
app-req-driv-1-workload-13-replica-7    130
app-req-driv-1-workload-13-replica-8    136
app-req-driv-1-workload-13-replica-9    147
app-req-driv-1-workload-2-replica-0     247
app-req-driv-1-workload-2-replica-1     <none>
app-req-driv-1-workload-2-replica-10    <none>
app-req-driv-1-workload-2-replica-2     <none>
app-req-driv-1-workload-2-replica-3     <none>
app-req-driv-1-workload-2-replica-4     <none>
app-req-driv-1-workload-2-replica-5     <none>
app-req-driv-1-workload-2-replica-6     <none>
app-req-driv-1-workload-2-replica-7     <none>
app-req-driv-1-workload-2-replica-8     <none>
app-req-driv-1-workload-2-replica-9     <none>
app-req-driv-1-workload-3-replica-0     291
app-req-driv-1-workload-3-replica-1     446
app-req-driv-1-workload-3-replica-2     427
app-req-driv-1-workload-3-replica-3     426
app-req-driv-1-workload-3-replica-4     444
app-req-driv-1-workload-3-replica-5     263
app-req-driv-1-workload-3-replica-6     447
app-req-driv-1-workload-3-replica-7     180
app-req-driv-1-workload-3-replica-8     313
app-req-driv-1-workload-4-replica-0     337
app-req-driv-1-workload-4-replica-1     456
app-req-driv-1-workload-4-replica-2     458
app-req-driv-1-workload-4-replica-3     358
app-req-driv-1-workload-4-replica-4     359
app-req-driv-1-workload-5-replica-0     22
app-req-driv-1-workload-5-replica-1     333
app-req-driv-1-workload-5-replica-2     23
app-req-driv-1-workload-5-replica-3     28
app-req-driv-1-workload-5-replica-4     22
app-req-driv-1-workload-5-replica-5     30
app-req-driv-1-workload-5-replica-6     406
app-req-driv-1-workload-5-replica-7     332
app-req-driv-1-workload-6-replica-0     200
app-req-driv-1-workload-6-replica-1     201
app-req-driv-1-workload-6-replica-2     199
app-req-driv-1-workload-6-replica-3     199
app-req-driv-1-workload-6-replica-4     199
app-req-driv-1-workload-6-replica-5     <none>
app-req-driv-1-workload-6-replica-6     <none>
app-req-driv-1-workload-6-replica-7     <none>
app-req-driv-1-workload-6-replica-8     <none>
app-req-driv-1-workload-7-replica-0     246
