pod_name    node_name
app-req-driv-0-workload-0-replica-0     130
app-req-driv-0-workload-0-replica-1     367
app-req-driv-0-workload-0-replica-10    130
app-req-driv-0-workload-0-replica-2     331
app-req-driv-0-workload-0-replica-3     283
app-req-driv-0-workload-0-replica-4     289
app-req-driv-0-workload-0-replica-5     357
app-req-driv-0-workload-0-replica-6     360
app-req-driv-0-workload-0-replica-7     297
app-req-driv-0-workload-0-replica-8     356
app-req-driv-0-workload-0-replica-9     367
app-req-driv-0-workload-1-replica-0     249
app-req-driv-0-workload-1-replica-1     356
app-req-driv-0-workload-1-replica-2     309
app-req-driv-0-workload-1-replica-3     366
app-req-driv-0-workload-1-replica-4     274
app-req-driv-0-workload-1-replica-5     241
app-req-driv-0-workload-10-replica-0    243
app-req-driv-0-workload-10-replica-1    378
app-req-driv-0-workload-10-replica-2    122
app-req-driv-0-workload-10-replica-3    371
app-req-driv-0-workload-10-replica-4    392
app-req-driv-0-workload-10-replica-5    386
app-req-driv-0-workload-10-replica-6    391
app-req-driv-0-workload-10-replica-7    388
app-req-driv-0-workload-10-replica-8    284
app-req-driv-0-workload-10-replica-9    131
app-req-driv-0-workload-11-replica-0    29
app-req-driv-0-workload-11-replica-1    385
app-req-driv-0-workload-11-replica-2    23
app-req-driv-0-workload-11-replica-3    23
app-req-driv-0-workload-11-replica-4    31
app-req-driv-0-workload-11-replica-5    17
app-req-driv-0-workload-12-replica-0    27
app-req-driv-0-workload-12-replica-1    19
app-req-driv-0-workload-12-replica-2    17
app-req-driv-0-workload-12-replica-3    31
app-req-driv-0-workload-12-replica-4    27
app-req-driv-0-workload-12-replica-5    20
app-req-driv-0-workload-12-replica-6    26
app-req-driv-0-workload-12-replica-7    29
app-req-driv-0-workload-12-replica-8    17
app-req-driv-0-workload-13-replica-0    147
app-req-driv-0-workload-13-replica-1    286
app-req-driv-0-workload-13-replica-2    311
app-req-driv-0-workload-13-replica-3    386
app-req-driv-0-workload-13-replica-4    381
app-req-driv-0-workload-13-replica-5    245
app-req-driv-0-workload-13-replica-6    305
app-req-driv-0-workload-14-replica-0    202
app-req-driv-0-workload-14-replica-1    170
app-req-driv-0-workload-14-replica-2    161
app-req-driv-0-workload-14-replica-3    214
app-req-driv-0-workload-14-replica-4    150
app-req-driv-0-workload-14-replica-5    157
app-req-driv-0-workload-14-replica-6    159
app-req-driv-0-workload-14-replica-7    216
app-req-driv-0-workload-14-replica-8    232
app-req-driv-0-workload-14-replica-9    169
app-req-driv-0-workload-15-replica-0    237
app-req-driv-0-workload-15-replica-1    393
app-req-driv-0-workload-15-replica-2    400
app-req-driv-0-workload-15-replica-3    394
app-req-driv-0-workload-15-replica-4    399
app-req-driv-0-workload-15-replica-5    400
app-req-driv-0-workload-15-replica-6    393
app-req-driv-0-workload-16-replica-0    51
app-req-driv-0-workload-16-replica-1    396
app-req-driv-0-workload-16-replica-2    389
app-req-driv-0-workload-16-replica-3    382
app-req-driv-0-workload-16-replica-4    398
app-req-driv-0-workload-16-replica-5    390
app-req-driv-0-workload-16-replica-6    376
app-req-driv-0-workload-16-replica-7    387
app-req-driv-0-workload-17-replica-0    285
app-req-driv-0-workload-17-replica-1    119
app-req-driv-0-workload-17-replica-2    239
app-req-driv-0-workload-17-replica-3    135
app-req-driv-0-workload-17-replica-4    128
app-req-driv-0-workload-17-replica-5    127
app-req-driv-0-workload-17-replica-6    125
app-req-driv-0-workload-18-replica-0    139
app-req-driv-0-workload-18-replica-1    119
app-req-driv-0-workload-18-replica-10   133
app-req-driv-0-workload-18-replica-2    127
app-req-driv-0-workload-18-replica-3    134
app-req-driv-0-workload-18-replica-4    137
app-req-driv-0-workload-18-replica-5    139
app-req-driv-0-workload-18-replica-6    120
app-req-driv-0-workload-18-replica-7    135
app-req-driv-0-workload-18-replica-8    119
app-req-driv-0-workload-18-replica-9    122
app-req-driv-0-workload-19-replica-0    271
app-req-driv-0-workload-19-replica-1    393
app-req-driv-0-workload-19-replica-2    332
app-req-driv-0-workload-19-replica-3    303
app-req-driv-0-workload-19-replica-4    282
app-req-driv-0-workload-2-replica-0     287
app-req-driv-0-workload-2-replica-1     369
app-req-driv-0-workload-2-replica-2     329
app-req-driv-0-workload-2-replica-3     353
app-req-driv-0-workload-2-replica-4     287
app-req-driv-0-workload-2-replica-5     288
app-req-driv-0-workload-2-replica-6     373
app-req-driv-0-workload-2-replica-7     273
app-req-driv-0-workload-2-replica-8     321
app-req-driv-0-workload-20-replica-0    56
app-req-driv-0-workload-20-replica-1    85
app-req-driv-0-workload-20-replica-10   87
app-req-driv-0-workload-20-replica-2    63
app-req-driv-0-workload-20-replica-3    79
app-req-driv-0-workload-20-replica-4    65
app-req-driv-0-workload-20-replica-5    81
app-req-driv-0-workload-20-replica-6    82
app-req-driv-0-workload-20-replica-7    67
app-req-driv-0-workload-20-replica-8    59
app-req-driv-0-workload-20-replica-9    60
app-req-driv-0-workload-21-replica-0    114
app-req-driv-0-workload-21-replica-1    405
