pod_name    node_name
app-req-driv-1-workload-0-replica-0     725
app-req-driv-1-workload-0-replica-1     157
app-req-driv-1-workload-0-replica-2     228
app-req-driv-1-workload-0-replica-3     211
app-req-driv-1-workload-0-replica-4     228
app-req-driv-1-workload-0-replica-5     745
app-req-driv-1-workload-0-replica-6     187
app-req-driv-1-workload-0-replica-7     192
app-req-driv-1-workload-0-replica-8     228
app-req-driv-1-workload-1-replica-0     <none>
app-req-driv-1-workload-1-replica-1     <none>
app-req-driv-1-workload-1-replica-10    <none>
app-req-driv-1-workload-1-replica-2     <none>
app-req-driv-1-workload-1-replica-3     <none>
app-req-driv-1-workload-1-replica-4     <none>
app-req-driv-1-workload-1-replica-5     224
app-req-driv-1-workload-1-replica-6     <none>
app-req-driv-1-workload-1-replica-7     <none>
app-req-driv-1-workload-1-replica-8     <none>
app-req-driv-1-workload-1-replica-9     <none>
app-req-driv-1-workload-10-replica-0    23
app-req-driv-1-workload-10-replica-1    479
app-req-driv-1-workload-10-replica-2    478
app-req-driv-1-workload-10-replica-3    477
app-req-driv-1-workload-10-replica-4    474
app-req-driv-1-workload-11-replica-0    271
app-req-driv-1-workload-11-replica-1    476
app-req-driv-1-workload-11-replica-2    387
app-req-driv-1-workload-11-replica-3    358
app-req-driv-1-workload-11-replica-4    475
app-req-driv-1-workload-11-replica-5    436
app-req-driv-1-workload-11-replica-6    316
app-req-driv-1-workload-12-replica-0    270
app-req-driv-1-workload-12-replica-1    473
app-req-driv-1-workload-12-replica-2    480
app-req-driv-1-workload-12-replica-3    250
app-req-driv-1-workload-12-replica-4    237
app-req-driv-1-workload-12-replica-5    465
app-req-driv-1-workload-12-replica-6    42
app-req-driv-1-workload-12-replica-7    362
app-req-driv-1-workload-12-replica-8    320
app-req-driv-1-workload-12-replica-9    268
app-req-driv-1-workload-13-replica-0    255
app-req-driv-1-workload-13-replica-1    475
app-req-driv-1-workload-13-replica-2    480
app-req-driv-1-workload-13-replica-3    370
app-req-driv-1-workload-13-replica-4    417
app-req-driv-1-workload-13-replica-5    339
app-req-driv-1-workload-13-replica-6    302
app-req-driv-1-workload-13-replica-7    450
app-req-driv-1-workload-13-replica-8    405
app-req-driv-1-workload-13-replica-9    294
app-req-driv-1-workload-14-replica-0    9
app-req-driv-1-workload-14-replica-1    198
app-req-driv-1-workload-14-replica-2    252
app-req-driv-1-workload-14-replica-3    29
app-req-driv-1-workload-14-replica-4    9
app-req-driv-1-workload-14-replica-5    57
app-req-driv-1-workload-14-replica-6    9
app-req-driv-1-workload-14-replica-7    9
app-req-driv-1-workload-14-replica-8    37
app-req-driv-1-workload-14-replica-9    48
app-req-driv-1-workload-15-replica-0    <none>
app-req-driv-1-workload-15-replica-1    <none>
app-req-driv-1-workload-15-replica-2    <none>
app-req-driv-1-workload-15-replica-3    <none>
app-req-driv-1-workload-15-replica-4    <none>
app-req-driv-1-workload-15-replica-5    <none>
app-req-driv-1-workload-15-replica-6    <none>
app-req-driv-1-workload-15-replica-7    <none>
app-req-driv-1-workload-15-replica-8    <none>
app-req-driv-1-workload-15-replica-9    <none>
app-req-driv-1-workload-2-replica-0     258
app-req-driv-1-workload-2-replica-1     461
app-req-driv-1-workload-2-replica-10    400
app-req-driv-1-workload-2-replica-2     458
app-req-driv-1-workload-2-replica-3     463
app-req-driv-1-workload-2-replica-4     461
app-req-driv-1-workload-2-replica-5     462
app-req-driv-1-workload-2-replica-6     459
